Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Arsenal,24,31,57,454,153,33.7,14.65,4.94,0.12,0.35,3,3
Aston Villa,30,31,40,397,135,34,12.81,4.35,0.1,0.3,0,0
Bournemouth,26,31,46,436,149,34.2,14.06,4.81,0.1,0.28,4,5
Brentford,24,31,45,320,122,38.1,10.32,3.94,0.12,0.32,6,8
Brighton,28,31,40,398,138,34.7,12.84,4.45,0.09,0.27,3,5
Burnley,26,31,30,287,92,32.1,9.26,2.97,0.1,0.3,2,2
Chelsea,26,31,52,426,145,34,13.74,4.68,0.11,0.31,7,7
Crystal Palace,29,30,32,350,109,31.1,11.67,3.63,0.07,0.24,6,6
Everton,22,31,35,340,111,32.6,10.97,3.58,0.1,0.3,2,2
Fulham,24,31,39,380,114,30,12.26,3.68,0.09,0.31,4,4
Leeds United,24,31,37,386,120,31.1,12.45,3.87,0.09,0.28,4,6
Liverpool,23,31,48,486,140,28.8,15.68,4.52,0.1,0.34,1,2
Manchester City,27,30,57,443,157,35.4,14.77,5.23,0.12,0.34,3,4
Manchester Utd,27,31,53,491,177,36,15.84,5.71,0.1,0.28,4,6
Newcastle United,25,31,44,409,146,35.7,13.19,4.71,0.09,0.26,6,6
Nottingham Forest,31,31,31,392,123,31.4,12.65,3.97,0.07,0.24,2,2
Sunderland,29,31,29,306,102,33.3,9.87,3.29,0.08,0.25,4,5
Tottenham Hotspur,29,31,39,345,118,34.2,11.13,3.81,0.11,0.33,0,0
West Ham United,32,31,34,314,104,33.1,10.13,3.35,0.1,0.3,3,3
Wolves,29,31,23,285,101,35.4,9.19,3.26,0.07,0.21,2,4
